order_id,order_date,user_id,category,product_name,quantity,weighted_price
1000,24/09/04,341,Bakery,Pastry,2,114.15
1000,24/09/04,341,Grains & Staples,Wheat Flour,1,333.44
1000,24/09/04,341,Household,Dishwashing Liquid,2,405.92
1000,24/09/04,341,Stationery,Marker,2,171.33
1001,24/03/07,324,Beverages,Energy Drink,3,292.11
1001,24/03/07,324,Clothing,Saree,2,41.16
1001,24/03/07,324,Electronics,Mixer Grinder,1,479.36
1001,24/03/07,324,Fruits & Vegetables,Apple,2,163.93
1001,24/03/07,324,Fruits & Vegetables,Spinach,2,181.65
1001,24/03/07,324,Meat & Seafood,Fish,2,412.51
1001,24/03/07,324,Personal Care,Face Wash,2,335.04
1002,24/02/27,332,Bakery,Cookies,3,466.75
1002,24/02/27,332,Clothing,Dress,3,285.18
1002,24/02/27,332,Dairy & Eggs,Butter,2,130.36
1002,24/02/27,332,Meat & Seafood,Chicken Breast,3,478.7
1003,24/07/23,431,Fruits & Vegetables,Apple,3,209.36
1003,24/07/23,431,Health & Wellness,Vitamins,2,161.01
1003,24/07/23,431,Household,Dishwashing Liquid,3,364.58
1004,24/06/18,115,Bakery,Pastry,3,289.1
1004,24/06/18,115,Grains & Staples,Salt,1,176.26
1004,24/06/18,115,Household,Tissue,1,144.28
1004,24/06/18,115,Stationery,Notebook,1,88.43
1005,24/02/08,439,Bakery,Cookies,1,447.7
1005,24/02/08,439,Beverages,Energy Drink,1,66.94
1005,24/02/08,439,Meat & Seafood,Chicken Breast,2,93.31
1005,24/02/08,439,Snacks,Biscuits,3,49.11
1006,24/09/26,410,Bakery,Croissant,3,73.61
1006,24/09/26,410,Electronics,Electric Kettle,3,215.85
1006,24/09/26,410,Personal Care,Face Wash,2,465.96
1007,24/04/29,406,Beverages,Soda,3,272.41
1007,24/04/29,406,Electronics,Earphones,2,353.38
1007,24/04/29,406,Electronics,Electric Kettle,1,318.72
1008,24/10/17,129,Bakery,Cookies,4,443.105
1008,24/10/17,129,Electronics,Phone Cover,3,395.35
1008,24/10/17,129,Fruits & Vegetables,Onion,1,212.49
1008,24/10/17,129,Grains & Staples,Cooking Oil,3,359.96
1008,24/10/17,129,Grains & Staples,Wheat Flour,3,424.9
1008,24/10/17,129,Meat & Seafood,Chicken Breast,2,313.65
1009,24/12/02,366,Bakery,Croissant,1,95.96
1009,24/12/02,366,Grains & Staples,Sugar,2,447.6
1009,24/12/02,366,Snacks,Chocolate,2,333.09
1010,24/08/18,76,Beverages,Soda,2,369
1010,24/08/18,76,Beverages,Tea,2,381.68
1010,24/08/18,76,Dairy & Eggs,Yogurt,2,446.15
1010,24/08/18,76,Fruits & Vegetables,Carrot,3,186.53
1011,24/10/20,144,Dairy & Eggs,Milk,2,152.27
1011,24/10/20,144,Personal Care,Soap,2,499.96
1011,24/10/20,144,Snacks,Chocolate,2,414.46
1012,24/07/01,83,Beverages,Energy Drink,2,145.44
1012,24/07/01,83,Electronics,Charger,2,479.01
1012,24/07/01,83,Fruits & Vegetables,Banana,2,266.82
1012,24/07/01,83,Personal Care,Shampoo,1,162.36
1013,24/06/15,187,Electronics,Charger,3,483.34
1013,24/06/15,187,Meat & Seafood,Chicken Breast,2,118.51
1013,24/06/15,187,Snacks,Popcorn,3,240.87
1014,24/12/28,111,Electronics,Earphones,1,135.96
1014,24/12/28,111,Fruits & Vegetables,Spinach,1,486.7
1014,24/12/28,111,Grains & Staples,Rice,3,373.99
1014,24/12/28,111,Health & Wellness,Pain Reliever,2,248.28
1014,24/12/28,111,Stationery,Pen,2,405.4
1015,24/05/23,200,Grains & Staples,Lentils,2,142.51
1015,24/05/23,200,Grains & Staples,Sugar,2,417.75
1015,24/05/23,200,Household,Floor Cleaner,2,85.75
1016,24/07/03,257,Beverages,Coffee,2,354.91
1016,24/07/03,257,Beverages,Tea,2,120.73
1016,24/07/03,257,Fruits & Vegetables,Spinach,3,355.58
1016,24/07/03,257,Household,Tissue,2,238.27
1016,24/07/03,257,Personal Care,Face Wash,2,28.45
1016,24/07/03,257,Personal Care,Shampoo,2,313.4
1016,24/07/03,257,Snacks,Chocolate,2,68.08
1017,24/10/23,352,Baby Care,Baby Food,2,306.92
1017,24/10/23,352,Baby Care,Diapers,1,315.15
1017,24/10/23,352,Fruits & Vegetables,Apple,1,479.3
1017,24/10/23,352,Snacks,Chocolate,2,370.14
1017,24/10/23,352,Snacks,Popcorn,2,209.88
